id_reg_nat,time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm),id_area
1336,2021-07-15,22.9,0.0,27.3,56,4.55,2
1337,2021-07-16,22.9,0.0,21.6,57,5.01,2
1338,2021-07-17,23.8,0.0,22.3,49,6.06,2
1339,2021-07-18,24.0,0.0,19.7,41,5.66,2
1340,2021-07-19,23.7,0.0,17.8,35,5.36,2
1341,2021-07-20,23.7,0.0,17.3,44,5.32,2
1342,2021-07-21,26.2,0.0,20.9,41,6.7,2
1343,2021-07-22,26.8,0.0,19.1,37,6.78,2
1344,2021-07-23,27.1,0.0,13.7,303,6.32,2
1345,2021-07-24,30.0,0.0,22.6,287,7.03,2
1346,2021-07-25,26.8,0.0,17.7,277,4.48,2
1347,2021-07-26,25.5,0.0,20.8,295,4.12,2
1348,2021-07-27,24.9,0.0,16.6,23,4.99,2
1349,2021-07-28,25.0,0.0,18.4,46,4.56,2
1350,2021-07-29,25.6,0.0,16.4,54,4.51,2
1351,2021-07-30,27.1,0.0,14.9,3,5.18,2
1352,2021-07-31,28.2,0.0,20.0,293,5.06,2
1353,2021-08-01,25.4,0.1,26.8,315,4.65,2
1354,2021-08-02,24.8,0.0,26.4,54,4.31,2
1355,2021-08-03,25.0,0.7,20.4,44,2.83,2
1356,2021-08-04,24.9,0.4,15.8,333,4.58,2
1357,2021-08-05,25.1,0.0,16.5,43,5.25,2
1358,2021-08-06,26.2,0.0,14.6,334,5.98,2
1359,2021-08-07,27.4,0.0,19.5,288,6.15,2
1360,2021-08-08,25.7,0.0,15.6,16,4.69,2
1361,2021-08-09,25.6,0.0,19.1,60,4.65,2
1362,2021-08-10,26.7,0.0,23.4,340,4.05,2
1363,2021-08-11,28.3,0.0,19.0,13,6.19,2
1364,2021-08-12,30.9,0.0,15.3,317,6.83,2
1365,2021-08-13,28.7,0.0,16.1,32,6.28,2
1366,2021-08-14,26.9,0.0,16.1,35,5.43,2
1367,2021-08-15,28.9,0.0,17.9,356,6.07,2
1368,2021-08-16,27.9,0.0,21.1,12,5.7,2
1369,2021-08-17,26.1,0.3,27.6,56,4.68,2
1370,2021-08-18,25.2,0.1,25.8,62,5.11,2
1371,2021-08-19,25.1,0.0,20.3,51,4.61,2
1372,2021-08-20,25.2,0.0,21.1,54,4.37,2
1373,2021-08-21,25.5,0.0,19.6,41,5.26,2
1374,2021-08-22,27.0,0.0,16.2,35,5.83,2
1375,2021-08-23,26.2,0.0,22.9,42,5.14,2
1376,2021-08-24,25.1,0.0,22.6,54,3.89,2
1377,2021-08-25,24.9,0.1,20.2,44,3.66,2
1378,2021-08-26,24.8,0.4,18.2,50,4.13,2
1379,2021-08-27,24.8,0.0,14.7,14,4.98,2
1380,2021-08-28,26.1,0.0,22.0,276,5.43,2
1381,2021-08-29,24.8,0.0,15.8,345,4.89,2
1382,2021-08-30,24.8,0.0,14.8,358,4.68,2
1383,2021-08-31,25.2,0.1,21.6,47,3.81,2
1384,2021-09-01,28.7,0.0,27.5,275,6.14,2
1385,2021-09-02,26.8,0.0,20.8,286,4.74,2
1386,2021-09-03,24.7,6.0,17.9,29,3.46,2
1387,2021-09-04,24.0,0.0,16.5,42,4.37,2
1388,2021-09-05,24.4,0.0,21.8,54,4.45,2
1389,2021-09-06,24.2,0.0,19.5,51,4.34,2
1390,2021-09-07,25.9,0.0,22.4,52,5.64,2
1391,2021-09-08,26.7,0.0,20.6,272,5.09,2
1392,2021-09-09,25.2,0.0,27.9,273,5.25,2
1393,2021-09-10,25.1,0.0,21.7,278,5.0,2
1394,2021-09-11,24.3,0.0,17.7,46,4.33,2
1395,2021-09-12,24.9,0.0,19.6,47,4.88,2
1396,2021-09-13,25.2,0.0,18.9,48,4.36,2
1397,2021-09-14,31.6,0.0,33.4,146,7.53,2
1398,2021-09-15,27.8,0.0,22.7,42,5.18,2
1399,2021-09-16,24.7,2.1,23.5,36,3.39,2
1400,2021-09-17,24.1,1.2,18.5,42,2.68,2
1401,2021-09-18,23.4,0.4,16.0,14,3.28,2
1402,2021-09-19,23.4,0.0,14.8,27,3.91,2
1403,2021-09-20,23.7,1.2,22.6,55,3.36,2
1404,2021-09-21,22.9,4.3,21.5,52,2.29,2
1405,2021-09-22,23.2,6.8,19.9,61,3.74,2
1406,2021-09-23,26.0,0.0,21.4,43,4.17,2
1407,2021-09-24,25.7,0.0,15.4,317,4.31,2
1408,2021-09-25,24.2,0.0,12.3,283,3.16,2
1409,2021-09-26,23.8,0.0,15.3,298,2.8,2
1410,2021-09-27,22.7,0.0,13.0,357,3.46,2
1411,2021-09-28,22.0,0.0,16.1,56,3.73,2
1412,2021-09-29,21.9,0.0,14.0,44,3.62,2
1413,2021-09-30,21.9,0.0,25.7,64,3.89,2
1414,2021-10-01,21.8,0.0,19.9,52,3.55,2
1415,2021-10-02,22.1,0.0,15.4,58,3.62,2
1416,2021-10-03,22.4,0.0,16.6,287,3.91,2
1417,2021-10-04,21.7,0.0,30.0,262,4.34,2
1418,2021-10-05,20.0,0.0,15.0,269,4.11,2
1419,2021-10-06,20.3,0.0,14.1,41,3.41,2
1420,2021-10-07,20.4,0.3,14.3,65,3.49,2
1421,2021-10-08,19.5,0.0,21.2,74,3.91,2
1422,2021-10-09,19.3,0.1,19.2,62,3.37,2
1423,2021-10-10,19.5,0.2,19.0,75,3.39,2
