ID_IAREA,NAME,LATITUDE,LONGITUDE,COUNTRY,id_reg_nat,time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,id_area
1,BHOPAL,23.25469,77.40289,INDIA,109,2021-03-07,27.2,0,16.5,235,7.32,1
1,BHOPAL,23.25469,77.40289,INDIA,110,2021-03-08,27.1,0,15.9,255,7.21,1
1,BHOPAL,23.25469,77.40289,INDIA,111,2021-03-09,27,0,17.1,289,6.67,1
1,BHOPAL,23.25469,77.40289,INDIA,112,2021-03-10,26.7,0,17,295,6.07,1
1,BHOPAL,23.25469,77.40289,INDIA,113,2021-03-11,26.7,0,12.4,106,5.36,1
1,BHOPAL,23.25469,77.40289,INDIA,114,2021-03-12,24,1,20.3,90,5.01,1
1,BHOPAL,23.25469,77.40289,INDIA,115,2021-03-13,24.3,0,12,70,5.44,1
1,BHOPAL,23.25469,77.40289,INDIA,116,2021-03-14,25.8,0,11.2,108,5.56,1
1,BHOPAL,23.25469,77.40289,INDIA,117,2021-03-15,26.6,0,11.1,57,5.45,1
1,BHOPAL,23.25469,77.40289,INDIA,118,2021-03-16,26.7,0,9.2,85,4.8,1
1,BHOPAL,23.25469,77.40289,INDIA,119,2021-03-17,27.4,0,10.7,72,5.1,1
1,BHOPAL,23.25469,77.40289,INDIA,120,2021-03-18,26.6,0.4,11.3,137,4.72,1
1,BHOPAL,23.25469,77.40289,INDIA,121,2021-03-19,24,1.4,16.4,222,4.21,1
1,BHOPAL,23.25469,77.40289,INDIA,122,2021-03-20,25.9,0,21.8,249,6.06,1
1,BHOPAL,23.25469,77.40289,INDIA,123,2021-03-21,26.6,0,12.9,243,6.1,1
1,BHOPAL,23.25469,77.40289,INDIA,124,2021-03-22,27.5,0.1,22.5,188,6.75,1
1,BHOPAL,23.25469,77.40289,INDIA,125,2021-03-23,27,0.4,21.4,196,6.11,1
1,BHOPAL,23.25469,77.40289,INDIA,126,2021-03-24,26.7,0,17.4,271,6.21,1
1,BHOPAL,23.25469,77.40289,INDIA,127,2021-03-25,26,0,16.4,11,6.87,1
1,BHOPAL,23.25469,77.40289,INDIA,128,2021-03-26,26.1,0,13.4,26,6.42,1
1,BHOPAL,23.25469,77.40289,INDIA,129,2021-03-27,28.9,0,10.4,323,6.16,1
1,BHOPAL,23.25469,77.40289,INDIA,130,2021-03-28,30,0,13.2,302,7.38,1
1,BHOPAL,23.25469,77.40289,INDIA,131,2021-03-29,30.6,0,18.3,271,8.54,1
1,BHOPAL,23.25469,77.40289,INDIA,132,2021-03-30,30.7,0,24.3,276,10.1,1
1,BHOPAL,23.25469,77.40289,INDIA,133,2021-03-31,30.7,0,20.8,285,9.28,1
1,BHOPAL,23.25469,77.40289,INDIA,134,2021-04-01,28.5,0,14.4,350,7.06,1
1,BHOPAL,23.25469,77.40289,INDIA,135,2021-04-02,28.5,0,11.2,280,7.28,1
1,BHOPAL,23.25469,77.40289,INDIA,136,2021-04-03,28.2,0,13.2,38,7.02,1
1,BHOPAL,23.25469,77.40289,INDIA,137,2021-04-04,29.2,0,11.9,55,7.32,1
1,BHOPAL,23.25469,77.40289,INDIA,138,2021-04-05,31.1,0,14.7,270,7.7,1
1,BHOPAL,23.25469,77.40289,INDIA,139,2021-04-06,32.2,0,16.4,266,8.98,1
1,BHOPAL,23.25469,77.40289,INDIA,140,2021-04-07,31.5,0,17.3,298,8.82,1
1,BHOPAL,23.25469,77.40289,INDIA,141,2021-04-08,30.9,0,16.3,279,7.5,1
1,BHOPAL,23.25469,77.40289,INDIA,142,2021-04-09,30,0,17.6,15,7.5,1
1,BHOPAL,23.25469,77.40289,INDIA,143,2021-04-10,30.5,0,15.9,97,7.1,1
1,BHOPAL,23.25469,77.40289,INDIA,144,2021-04-11,29.4,0.3,20,179,7.09,1
1,BHOPAL,23.25469,77.40289,INDIA,145,2021-04-12,29.8,0,12.8,108,7.03,1
1,BHOPAL,23.25469,77.40289,INDIA,146,2021-04-13,30.7,0,13.4,188,7.18,1
1,BHOPAL,23.25469,77.40289,INDIA,147,2021-04-14,30.6,0,19.5,244,7.6,1
1,BHOPAL,23.25469,77.40289,INDIA,148,2021-04-15,29.6,0,12.7,207,6.13,1
1,BHOPAL,23.25469,77.40289,INDIA,149,2021-04-16,31,0,15.7,261,8.25,1
1,BHOPAL,23.25469,77.40289,INDIA,150,2021-04-17,30.1,0,16.7,300,7.63,1
1,BHOPAL,23.25469,77.40289,INDIA,151,2021-04-18,30.6,0,13.1,22,7.53,1
1,BHOPAL,23.25469,77.40289,INDIA,152,2021-04-19,31.3,0,14,199,6.79,1
1,BHOPAL,23.25469,77.40289,INDIA,153,2021-04-20,32.3,0,20,262,9.13,1
1,BHOPAL,23.25469,77.40289,INDIA,154,2021-04-21,29.5,0,19.6,282,7.07,1
1,BHOPAL,23.25469,77.40289,INDIA,155,2021-04-22,29.4,0,9.7,234,6.88,1
1,BHOPAL,23.25469,77.40289,INDIA,156,2021-04-23,30.7,0,14.6,242,7.95,1
1,BHOPAL,23.25469,77.40289,INDIA,157,2021-04-24,31.1,0,19.8,325,8.67,1
