,date,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
107,1970-04-17 18:30:00,30.712664,0.0,12.413477,7.9197264
108,1970-04-18 18:30:00,31.941828,0.0,17.193533,9.418391
109,1970-04-19 18:30:00,31.90433,0.0,18.129137,9.729423
110,1970-04-20 18:30:00,31.212667,0.0,16.563911,8.745434
111,1970-04-21 18:30:00,32.22725,0.0,11.542478,8.037119
112,1970-04-22 18:30:00,33.45017,0.0,10.829959,8.176484
113,1970-04-23 18:30:00,34.62308,0.0,14.561099,9.007683
114,1970-04-24 18:30:00,35.354336,0.0,11.384199,8.472093
115,1970-04-25 18:30:00,34.31058,0.0,9.904906,7.3702693
116,1970-04-26 18:30:00,35.15017,0.1,17.81909,8.64278
117,1970-04-27 18:30:00,34.862667,0.0,19.966211,10.502217
118,1970-04-28 18:30:00,33.546,0.0,21.485697,9.922949
119,1970-04-29 18:30:00,32.487663,0.0,16.055353,9.300439
120,1970-04-30 18:30:00,32.554333,0.0,12.429127,8.733458
121,1970-05-01 18:30:00,32.845997,0.0,13.830749,7.6528287
122,1970-05-02 18:30:00,34.52725,0.0,20.60823,9.296406
123,1970-05-03 18:30:00,34.59183,0.0,21.734581,9.798434
124,1970-05-04 18:30:00,34.425163,0.0,20.111729,10.405052
125,1970-05-05 18:30:00,33.904327,0.0,18.806337,10.272332
126,1970-05-06 18:30:00,33.885586,0.0,22.039528,10.179498
127,1970-05-07 18:30:00,33.9335,0.0,14.693999,7.6327662
128,1970-05-08 18:30:00,33.850163,0.0,14.494192,8.283909
129,1970-05-09 18:30:00,34.771,0.0,14.003028,8.319939
130,1970-05-10 18:30:00,35.35225,0.0,13.358861,8.387293
131,1970-05-11 18:30:00,35.850163,0.0,13.684735,8.3742895
132,1970-05-12 18:30:00,36.54392,0.0,21.862406,10.730652
133,1970-05-13 18:30:00,36.3835,0.0,23.006226,10.800234
134,1970-05-14 18:30:00,35.743916,0.0,22.930048,10.624063
135,1970-05-15 18:30:00,35.85642,0.0,20.929594,10.207816
136,1970-05-16 18:30:00,36.33975,0.0,23.598541,11.014288
137,1970-05-17 18:30:00,35.63975,0.0,21.9718,10.507024
138,1970-05-18 18:30:00,34.908497,0.1,21.758419,8.9729805
139,1970-05-19 18:30:00,33.866833,1.4000001,19.245697,7.8511295
140,1970-05-20 18:30:00,32.89808,2.1000001,20.3774,6.498545
141,1970-05-21 18:30:00,32.798084,0.1,11.988594,6.75963
142,1970-05-22 18:30:00,34.312664,0.0,17.072504,8.686178
143,1970-05-23 18:30:00,33.79392,0.1,15.496736,8.338453
144,1970-05-24 18:30:00,33.09183,0.0,8.373386,6.7825465
145,1970-05-25 18:30:00,33.02725,0.1,12.371645,7.025421
146,1970-05-26 18:30:00,33.616833,0.0,10.041354,7.494162
147,1970-05-27 18:30:00,33.729332,0.0,11.090103,7.0411725
148,1970-05-28 18:30:00,34.089752,0.0,14.404499,7.5316415
149,1970-05-29 18:30:00,32.246002,3.9,18.25026,7.0054564
150,1970-05-30 18:30:00,30.806417,1.5,13.339445,5.8872485
151,1970-05-31 18:30:00,28.885582,4.0,13.75558,5.124539
152,1970-06-01 18:30:00,27.843912,16.4,16.343367,4.6419716
153,1970-06-02 18:30:00,27.36267,12.400002,16.954432,3.900834
154,1970-06-03 18:30:00,28.520998,1.3000002,14.830076,5.34629
155,1970-06-04 18:30:00,29.116835,1.7,14.113653,5.524844
156,1970-06-05 18:30:00,28.35433,6.7,14.241629,5.1604834
157,1970-06-06 18:30:00,28.618912,0.2,13.039754,5.5254602
158,1970-06-07 18:30:00,29.306414,6.4,10.883676,5.0321918
159,1970-06-08 18:30:00,30.520994,0.0,14.264361,6.2730923
160,1970-06-09 18:30:00,30.41475,0.1,22.7057,7.261624
161,1970-06-10 18:30:00,27.587664,4.8,23.904108,4.309747
162,1970-06-11 18:30:00,26.621,8.3,11.885453,3.3019457
163,1970-06-12 18:30:00,26.443916,5.5999994,9.9571085,2.6609313
164,1970-06-13 18:30:00,25.643915,12.900001,10.739832,1.857908
165,1970-06-14 18:30:00,27.05642,0.8,11.525623,4.214907
