date,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsb_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg,latitude,longitude
20-02-29,Ain Taya,0.0285042873816564,290.9030853271484,0.00032153505417227275,2.0557384202331733e-09,1.6869393880369896e-05,0.0,2.07339813262782e-05,630.4371495564778,-80.58430242538454,8.523805010318757,15.114812326431275,51.14036383628845,0.0,0.0,0.0,0.0,290.9030853271484,842.2448939005534,211.80773372650148,4.0573262164990105,0.0,155.3702281951904,3.862532913482634e-06,842.2451922098795,36.79276,3.05136
20-03-01,Ain Taya,0.0459861862938851,290.4366483052572,0.0003630937662819633,4.634667069800905e-09,1.3100892147122067e-05,0.0,1.5046823746918866e-05,629.8442492167154,-56.75160153706869,0.6972153731932242,26.146524651845297,37.11298983891805,0.0,0.0,7.191251124675595e-12,0.0,290.4366483052572,840.7857688903808,210.9415186564128,4.052581994732221,0.0,120.70565878550212,1.941296728584045e-06,840.7861284891765,36.79276,3.05136
20-03-02,Ain Taya,0.0668120771646499,290.58044687906903,0.0116220123018138,3.548646242279574e-06,1.7467223862392223e-05,0.0,2.3067974954453045e-05,629.220043182373,-44.99701544443767,0.7702459056396037,-12.62301655213038,56.89715778032939,0.0,0.0,1.8198490556642356e-05,0.0,290.58044687906903,840.989008585612,211.7689962387085,4.5680492401123045,0.0,90.0383118947347,2.0521034926446198e-06,841.0006434122722,36.79276,3.05136
20-03-03,Ain Taya,0.0618883040267974,288.9376497904459,0.0056113708861327,1.004206261256968e-06,1.7389703634762556e-05,0.0,2.1113663198472447e-05,628.8112993876139,-61.889089520772295,-0.9928370775034028,23.71025346517563,52.07685480117797,0.0,0.0,2.6868732424153073e-08,0.0,288.9376497904459,845.8894742329917,217.07827758789065,4.377818557620048,0.0,136.69081643422447,2.7197565922657908e-06,845.8951578776042,36.79276,3.05136
20-03-04,Ain Taya,0.0437784506008029,289.9216920216878,0.0175488441484048,4.178584216181964e-06,8.914864129868269e-06,0.0,1.4907127634463296e-05,628.5073633829753,-41.758022165298456,-1.3395204275846482,43.189288854599,36.76842964490256,0.0,0.0,3.589861335010862e-07,0.0,289.9216920216878,845.4221229553223,216.91479059855143,4.467140394449234,0.0,120.36880054473876,1.813679547050621e-06,845.4397143046061,36.79276,3.05136
20-03-05,Ain Taya,0.0409420401634027,290.7818389892578,0.0028327924063584,7.044763125444812e-08,1.3532553642410978e-05,0.0,1.820123347139694e-05,628.2181193033855,-66.63410342534384,7.315097765127818,49.9313417116801,44.89333518346151,0.0,0.0,3.0930067548514718e-12,0.0,290.7818389892578,844.8179539998372,216.5997740427653,4.270352151989937,0.0,168.78299160003664,4.598231798051226e-06,844.820713297526,36.79276,3.05136
20-03-06,Ain Taya,0.0741357314400374,288.4661478678386,0.0181339614791795,6.620238428922675e-06,1.4329526428961496e-05,0.0,2.277368064369512e-05,627.9116645812987,-39.9491665840149,-11.9105242729187,46.13370237350465,56.17127680778504,0.0,0.0,8.896849616727801e-07,0.0,288.4661478678386,844.2259086608885,216.31417592366537,4.531689217686654,0.0,130.33335552215576,1.8239150207932653e-06,844.2439715067544,36.79276,3.05136
20-03-07,Ain Taya,0.0561798748094588,285.7766600290934,0.0125198800815269,2.851212012918344e-06,1.5056306021203152e-05,0.0,1.939745605644324e-05,627.6117240905762,-59.27563279469808,-15.179282895723976,47.39944972991943,47.84381794929504,0.0,0.0,3.824484351137395e-07,0.0,285.7766600290934,845.2124262491861,217.60066827138263,4.516112691164016,0.0,139.33125050862628,1.4899364794966154e-06,845.2248959859213,36.79276,3.05136
20-03-08,Ain Taya,0.0246194119487578,286.5046306610107,0.0047951835527783,1.665830856367734e-07,1.1830687204413456e-05,0.0,1.5370531195912916e-05,627.3672775268554,-80.18073730468748,-3.1777686218420667,55.24631679852804,37.91141325632731,0.0,0.0,7.824227238328873e-11,0.0,286.5046306610107,844.591739654541,217.22450625101723,4.295240211486816,0.0,170.16377639770508,3.373261762362745e-06,844.5965548197428,36.79276,3.05136
20-03-09,Ain Taya,0.0382018659419069,288.0506445566813,0.0077208375344829,8.173015120386632e-07,1.1467136979111577e-05,0.0,1.5116514316559914e-05,627.1111913045247,-60.669364595413214,1.7874743754665057,58.76953859329224,37.28488286336263,0.0,0.0,1.6572588705058658e-08,0.0,288.0506445566813,843.4147224426268,216.3034620285034,4.264720829327901,0.0,158.51450691223144,2.8320746271977745e-06,843.4223719278971,36.79276,3.05136
