date,city,LWdown_f_tavg,Psurf_f_tavg,Qair_f_tavg,RadT_tavg,Rainf_f_tavg,SnowCover_inst,SnowDepth_inst,Snowf_tavg,SoilMoi00_10cm_tavg,SoilMoi10_40cm_tavg,SoilMoi100_200cm_tavg,SoilMoi40_100cm_tavg,SoilTemp00_10cm_tavg,SoilTemp10_40cm_tavg,SoilTemp10_40cm_tavg,SoilTemp100_200cm_tavg,SoilTemp40_100cm_tavg,SWdown_f_tavg,SWE_inst,Swnet_tavg,Tair_f_tavg,Wind_f_tavg
16-10-01,Bhopal,361.0330336345889,95481.1814183181,0.011895848653937984,295.71240274692934,2.129703791173434E-5,0.0,0.0,0.0,0.36847241665047364,0.3851434751375904,0.42584370688451983,0.40052642016028006,296.0625130878231,297.19010627560493,297.19010627560493,298.52099020112826,297.92180177642075,228.6329906897816,0.0,198.1002027465076,297.25508924034557,3.7438689467868183
16-11-01,Bhopal,304.0632739803655,95917.23393038617,0.005716353286686163,292.0809855577423,0.0,0.0,0.0,0.0,0.2295136797446303,0.33176994596312687,0.3853869151051452,0.3473792356567655,292.47982180215485,294.09042826706803,294.09042826706803,297.01146893384987,295.4706913707702,211.39913014667786,0.0,183.3853356741308,294.750545036502,2.9030228620622216
16-12-01,Bhopal,288.06934642016404,96009.24363249491,0.004599027618163878,290.7722540754613,0.0,0.0,0.0,0.0,0.1774066152974842,0.2900866559608196,0.3706042606050406,0.3055701487493224,291.1727681043671,292.7289336910092,292.7289336910092,295.3332923641049,293.8985373334187,197.54966171388702,0.0,170.67174739372442,292.52735159649114,3.9210293855124374
17-01-01,Bhopal,297.86977957128505,96006.14630176575,0.004780014168103869,290.65647823054616,2.724831671877275E-6,0.0,0.0,0.0,0.17572956806336476,0.23946085650988708,0.36626194020718095,0.2536012761718858,290.90444558616576,291.8268277238055,291.8268277238055,294.0053553077264,292.6330298136889,195.4640665597063,0.0,168.3279879035019,291.8639594597545,4.393540967286118
17-02-01,Bhopal,306.940861523636,95939.14452331048,0.003946436480363468,295.64218316427093,1.840333165714546E-7,0.0,0.0,0.0,0.16924510523676875,0.19407493690770813,0.36563132470095056,0.2019657694802778,295.3474649258744,294.4267424606696,294.4267424606696,293.88771894501474,293.88462724142926,241.6614779030404,0.0,208.21024800122268,295.94166701402116,4.8133222630353485
17-03-01,Bhopal,323.38568915390385,95537.9808577871,0.004084227321767892,300.80667415091654,0.0,0.0,0.0,0.0,0.1507791009678589,0.16665645513108104,0.36555726456690607,0.17063721666127682,300.3423388721497,298.64982561561146,298.64982561561146,295.396631504462,296.84201518113053,283.44906721657856,0.0,244.672436225705,299.8047629875865,4.6086281596160505
17-04-01,Bhopal,343.85062089005135,95246.64488058945,0.0045307677308271625,307.0524263459493,0.0,0.0,0.0,0.0,0.14439788759057598,0.15732848969840907,0.36552637779131164,0.1600501955282397,306.60901979896107,304.8467127792235,304.8467127792235,298.40639346983374,301.97278464712747,318.66568939084925,0.0,273.2920940988432,305.1719537130216,6.651517472616057
17-05-01,Bhopal,388.6374685706162,95009.24149676067,0.007721212172948916,310.6784755117524,2.4706623782652806E-6,0.0,0.0,0.0,0.1442330108910072,0.1545138366792987,0.36550358489034623,0.15686332813002227,310.24936009228713,308.58656642882795,308.58656642882795,301.77923968555484,305.6028157986276,313.4053336662975,0.0,268.4340771620836,308.07268558285097,5.990031671717883
17-06-01,Bhopal,409.9289540856835,94740.3935070503,0.015168269446907126,306.00226782201753,5.143913295330826E-5,0.0,0.0,0.0,0.254170322397012,0.23647931349895354,0.3654820887841344,0.15752521258725868,306.0538849869394,306.15219355017194,306.15219355017194,304.0140424278694,305.78235917750413,269.393911873422,0.0,231.4021137206535,304.01320663700255,5.59997487795062
17-07-01,Bhopal,406.8506592541206,94631.17705951475,0.01731048519836693,299.5368375080387,1.4662357565745275E-4,0.0,0.0,0.0,0.35481628490899636,0.3520905973647183,0.37432635708795325,0.27348813835561764,299.7911694534426,300.77457468296456,300.77457468296456,303.0857661487611,302.0081857820836,208.92437120763267,0.0,175.4225816028874,299.37188181063027,7.394631464791491
