date,city,ACond_tavg,AvgSurfT_tavg,CanopInt_tavg,ECanop_tavg,ESoil_tavg,EvapSnow_tavg,Evap_tavg,GWS_tavg,Lwnet_tavg,Qg_tavg,Qh_tavg,Qle_tavg,Qsb_tavg,Qsm_tavg,Qs_tavg,SnowDepth_tavg,SnowT_tavg,SoilMoist_P_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,SWE_tavg,Swnet_tavg,TVeg_tavg,TWS_tavg
14-02-12,Bhopal,0.012944469178224177,290.2706232148457,6.314623552254222E-5,7.965971655952083E-11,1.8046135895988333E-5,0.0,2.926996449875843E-5,965.330505619204,-74.59474423261192,-3.051278606360036,34.694288344887205,72.19436626899534,0.0,0.0,0.0,0.0,290.2706232148457,1273.1841522464908,307.85367075602215,5.9614334387507855,0.0,178.43423596824087,1.122374709392886E-5,1273.184248513323
14-02-13,Bhopal,0.010951153317852536,292.95986516688896,0.015402144883055151,8.11688886553783E-7,1.6405220471491835E-5,0.0,2.849461037751497E-5,963.7960152354666,-44.52783396573571,10.400612417759934,32.01993712661712,70.28195905297753,0.0,0.0,1.2955967614014334E-7,0.0,292.95986516688896,1270.8125910565134,307.016521826023,6.001965542149738,0.0,157.2416304766647,1.1277701722848893E-5,1270.8279409020897
14-02-14,Bhopal,0.0118585636297892,291.4372368789301,0.007029674511414202,6.65137671928474E-7,1.684817716633871E-5,0.0,2.8385786606115168E-5,962.2661661287632,-59.95160317227123,-8.10318859224397,36.9438340605759,70.0135385931992,0.0,0.0,1.6684480434093463E-8,0.0,291.4372368789301,1268.7673584232487,306.5011957680307,5.968354371505054,0.0,158.79319918252585,1.0872471417255801E-5,1268.774367293691
14-02-15,Bhopal,0.012220405752021,291.0738195093667,0.03243584570103907,1.5244382621134038E-6,1.4989630783456662E-5,0.0,2.4544023661780174E-5,960.7449711125071,-44.395499779926084,-0.48006048542636687,43.595499249977784,60.53783470634522,0.0,0.0,2.3217493900340175E-7,0.0,291.0738195093667,1266.9706424620094,306.2256171063679,6.085728832861272,0.0,148.0544637819616,8.029955025667583E-6,1267.003050641316
14-02-16,Bhopal,0.010433695121001969,289.54988327646646,0.01490768225394129,1.1422338724079365E-6,1.5091149525761739E-5,0.0,2.530554623381323E-5,959.2694895054267,-69.10507892980807,-12.23520147412773,45.237705959537166,62.41612669316734,0.0,0.0,7.307586850499919E-9,0.0,289.54988327646646,1265.4412042881415,306.17175575194324,5.982738474520242,0.0,164.51370383471982,9.072162009392113E-6,1265.4561400374746
14-02-17,Bhopal,0.010221558583264305,288.0977507800591,0.0011544342895040318,3.4964455080092865E-8,1.649542901959205E-5,0.0,2.6468802398233128E-5,957.8110791958444,-91.07961197984896,-12.815767925929244,43.890753050160605,65.2853077291473,0.0,0.0,0.0,0.0,288.0977507800591,1263.2062825768944,305.39518806023324,5.916809719267898,0.0,187.4354076850705,9.938409334608876E-6,1263.2074178059895
14-02-18,Bhopal,0.008463234165531954,288.6882187758035,3.556344066654252E-4,2.5006438166776078E-9,1.6433559516726967E-5,0.0,2.7028183332391578E-5,956.3416334943075,-93.99602601586318,-4.774508634476158,35.62065131489823,66.66501262711314,0.0,0.0,0.0,0.0,288.6882187758035,1260.8687652339781,304.5271218462688,5.893583556985467,0.0,191.50968776485786,1.0592122183014706E-5,1260.8691244978247
14-02-19,Bhopal,0.008335706837498015,291.14379873508364,2.2973177299245138E-4,1.0527874381892107E-9,1.7280452267386418E-5,0.0,2.8879534834860403E-5,954.8569509614774,-80.2171258073512,6.245385228618375,30.33766613355496,71.2313743994488,0.0,0.0,0.0,0.0,291.14379873508364,1258.4047443420907,303.5477560089856,5.854512484577614,0.0,188.0376766949165,1.1598027363217582E-5,1258.4049609424624
14-02-20,Bhopal,0.008495271677715415,293.92336930685894,1.6797064560476396E-4,6.082300550747642E-10,1.8366216466354786E-5,0.0,3.0693441464414144E-5,953.3498287666134,-62.83640646740673,14.949056190203843,31.139027867859934,75.70537287239135,0.0,0.0,7.333443155306749E-13,0.0,293.92336930685894,1255.8029762826313,302.4531082835623,5.810022236370458,0.0,184.64229135590838,1.2326617928831581E-5,1255.8031081533045
14-02-21,Bhopal,0.012404784129561506,295.82594990924116,0.013149380004336316,7.56041843851008E-7,1.8599140183481704E-5,0.0,3.068617696051779E-5,951.8191825432507,-39.7219513024741,13.407965550577739,30.823962341479167,75.68745454152426,0.0,0.0,1.405161233490818E-6,0.0,295.82594990924116,1253.702395927615,301.8833112949278,6.030281453113246,0.0,159.64433287023527,1.1330992517686375E-5,1253.7156489922747
14-02-22,Bhopal,0.012789120102619251,294.3846384374107,0.014297882080782295,1.25714299019172E-6,1.4718241240322039E-5,0.0,2.3077053511525912E-5,950.3662721587391,-37.30782383631884,1.7708695560572592,32.492731677807434,56.91955353186382,0.0,0.0,2.2044617950410097E-7,0.0,294.3846384374107,1253.9122736240786,303.54603015310397,6.100052486105662,0.0,128.48850880599602,7.101669179456525E-6,1253.9266180022944
14-02-23,Bhopal,0.015354352863126896,293.0927534335997,0.0059841587832879,6.595141578152028E-7,1.4590164657486792E-5,0.0,2.2544811694077487E-5,949.0073084637401,-46.28050748313347,-4.070315604287435,46.77139696260778,55.606775167511735,0.0,0.0,3.139508311430226E-8,0.0,293.0927534335997,1252.2247434786666,303.2174129641152,5.926025146391333,0.0,144.58299987296746,7.295133555755188E-6,1252.2307158679496
14-02-24,Bhopal,0.013131929347594457,294.5199695370061,0.009556418539846423,4.336021932399434E-7,1.679822509142868E-5,0.0,2.6463746744559648E-5,947.6584253698829,-54.977794348708976,7.068330235597564,56.710881543353324,65.27283572375289,0.0,0.0,3.2980583092899145E-8,0.0,294.5199695370061,1250.2006699476785,302.54222717905435,5.8686971635353276,0.0,184.0348102135387,9.231919004074976E-6,1250.2102173595895
14-02-25,Bhopal,0.015761419047972534,295.3346400687365,0.03799104117939809,2.2915171819835725E-6,2.0580444193112227E-5,0.0,3.1451749120561747E-5,946.3528504410409,-40.03996419518944,5.981300027389836,44.358793285804055,77.57573893787415,0.0,0.0,4.0198362207442306E-5,0.0,295.3346400687365,1253.014295748579,306.6614477886417,6.978995093969794,0.0,167.95801989237467,8.579786001112414E-6,1253.0522941031109
14-02-26,Bhopal,0.016461998788352177,293.7211077310205,0.045643900059224154,2.6000763968597785E-6,1.8353279109412955E-5,0.0,2.944877755686409E-5,945.5820396857533,-34.934156454675566,-2.384106549063349,34.56564987771879,72.63540804483057,0.0,0.0,3.157202841584063E-5,0.0,293.7211077310205,1263.3692264711954,317.78736635533767,7.292690849885709,0.0,139.74868869006147,8.495421918187793E-6,1263.41503571301
14-02-27,Bhopal,0.01291681622813751,293.8804006499003,0.0345588722815207,2.041643308456241E-6,1.684399765737937E-5,0.0,3.230699020997139E-5,945.3810030929441,-45.7477890766733,-0.2484307244166399,38.49880220056549,79.68519447295645,0.0,0.0,1.091676435455925E-5,0.0,293.8804006499003,1268.8198454321885,323.43896419246033,6.9989108123430395,0.0,163.6820513407389,1.3421349041255611E-5,1268.8545267988995
