date,city,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label
22-09-24,Baraki,0.06307428736340726,0.14232179539179368,0.04879960100640514,0.03251995439875366,0.13132585177431363,0.1339652045207991,0.210452013978153,0.09125808216207655,0.0348702872925682,4.396498306794436
22-09-25,Baraki,,,,,,,,,,
22-09-26,Baraki,,,,,,,,,,
22-09-27,Baraki,,,,,,,,,,
22-09-28,Baraki,,,,,,,,,,
22-09-29,Baraki,0.06478835860395339,0.13779181057370177,0.04797403530710704,0.03287531078451901,0.1400118633521593,0.12840885395089327,0.2076840741998168,0.09467778816556285,0.036371934804293946,4.476309132782118
22-09-30,Baraki,,,,,,,,,,
22-10-01,Baraki,0.0767480916751087,0.08938311361282841,0.04972162492705578,0.0333531191860597,0.16812347646374762,0.08821853811790394,0.31571017112004135,0.05987193194437271,0.03671817670087796,4.640121329600115
22-10-02,Baraki,,,,,,,,,,
22-10-03,Baraki,,,,,,,,,,
22-10-04,Baraki,0.2999143988735028,0.0362704758108385,0.02547520710461175,0.040153716454532605,0.04126909810271281,0.0510579902094914,0.05696343876935764,0.3487811695728729,0.08149357005057216,2.037313432835821
22-10-05,Baraki,,,,,,,,,,
22-10-06,Baraki,,,,,,,,,,
22-10-07,Baraki,,,,,,,,,,
22-10-08,Baraki,,,,,,,,,,
22-10-09,Baraki,,,,,,,,,,
22-10-10,Baraki,,,,,,,,,,
22-10-11,Baraki,0.07131288343539893,0.08859060348650237,0.040349298938274464,0.040547429500569374,0.12552207536605273,0.080183694666276,0.35642220243064027,0.08344297790992819,0.039042359359908484,5.054141874498882
22-10-12,Baraki,,,,,,,,,,
22-10-13,Baraki,,,,,,,,,,
22-10-14,Baraki,0.07921126371108543,0.14746766326013477,0.045534055336129524,0.033758628560109055,0.10765794959493222,0.11111195064265916,0.25596706735005953,0.06754085223089193,0.0341032294495104,4.656194062094932
22-10-15,Baraki,,,,,,,,,,
22-10-16,Baraki,0.06041398558012096,0.07611617967635284,0.0366657130666772,0.03810813131302846,0.12656574460326714,0.08417130793344314,0.3664783207502417,0.09684108194930637,0.04193615295562865,5.325455616489773
22-10-17,Baraki,,,,,,,,,,
22-10-18,Baraki,,,,,,,,,,
22-10-19,Baraki,0.06943292448591994,0.13648912127328505,0.04258981618043308,0.041139934604291335,0.12231022472985958,0.12362699205438761,0.21608757099953932,0.09995487916692425,0.03959232968557438,4.521781997443854
22-10-20,Baraki,,,,,,,,,,
22-10-21,Baraki,,,,,,,,,,
22-10-22,Baraki,,,,,,,,,,
22-10-23,Baraki,,,,,,,,,,
22-10-24,Baraki,,,,,,,,,,
22-10-25,Baraki,,,,,,,,,,
22-10-26,Baraki,,,,,,,,,,
22-10-27,Baraki,,,,,,,,,,
22-10-28,Baraki,,,,,,,,,,
22-10-29,Baraki,,,,,,,,,,
22-10-30,Baraki,,,,,,,,,,
22-10-31,Baraki,0.059616518094960776,0.08548525930183064,0.0432037170659697,0.035829102836766664,0.15899998560062217,0.08028889410546221,0.3443395957853006,0.06707818608332144,0.03815100107773614,4.978403603436458
22-11-01,Baraki,,,,,,,,,,
22-11-02,Baraki,,,,,,,,,,
22-11-03,Baraki,0.05251822398971452,0.09358244230596999,0.03993321092882135,0.04491079496497535,0.11459151855356783,0.1285233553480296,0.1728122176115609,0.18768266939473238,0.057727042151061475,5.413232104121475
22-11-04,Baraki,,,,,,,,,,
22-11-05,Baraki,0.06675936289475551,0.09403736655279936,0.04472989718193455,0.035446928136703616,0.11716122878827365,0.07896831493772208,0.3812470937988284,0.05933270303853259,0.0364270730751303,5.044121213958705
22-11-06,Baraki,,,,,,,,,,
22-11-07,Baraki,,,,,,,,,,
22-11-08,Baraki,,,,,,,,,,
22-11-09,Baraki,,,,,,,,,,
22-11-10,Baraki,0.056712113019834795,0.08019226585689919,0.05033982845492403,0.03569576867689463,0.19226194843381503,0.0731100686446199,0.3239643035171643,0.06437320207334521,0.03651380608305466,4.88268298094906
22-11-11,Baraki,,,,,,,,,,
22-11-12,Baraki,,,,,,,,,,
22-11-13,Baraki,0.0710845644532529,0.15624964143500222,0.04848883155387612,0.036929132812706,0.10458622225477773,0.11945248443266708,0.22962909423377798,0.08549957694748711,0.03658459866139113,4.324444801413597
22-11-14,Baraki,,,,,,,,,,
22-11-15,Baraki,0.061016326714848024,0.09480416100797764,0.04385500759285457,0.03582881763203878,0.14371842720374559,0.07948354014713839,0.34961071449118397,0.06488773628929302,0.03673941233257921,4.971059500553764
22-11-16,Baraki,,,,,,,,,,
22-11-17,Baraki,,,,,,,,,,
22-11-18,Baraki,,,,,,,,,,
22-11-19,Baraki,,,,,,,,,,
22-11-20,Baraki,0.0631704831782972,0.10929308470233674,0.0702519011997291,0.0440249301700182,0.20624865644612714,0.07910293553021955,0.22516448431479594,0.05812340394904645,0.0384432579666935,4.566510979012495
22-11-21,Baraki,,,,,,,,,,
22-11-22,Baraki,,,,,,,,,,
22-11-23,Baraki,,,,,,,,,,
22-11-24,Baraki,,,,,,,,,,
22-11-25,Baraki,,,,,,,,,,
22-11-26,Baraki,,,,,,,,,,
22-11-27,Baraki,,,,,,,,,,
22-11-28,Baraki,,,,,,,,,,
22-11-29,Baraki,,,,,,,,,,
22-11-30,Baraki,0.08685370904318053,0.08774802057981948,0.0722993390729576,0.04313736611553971,0.16272497769533825,0.06308642038098011,0.29528375311895444,0.05111993952603942,0.03829633082288634,4.578649207910715
22-12-01,Baraki,,,,,,,,,,
22-12-02,Baraki,,,,,,,,,,
22-12-03,Baraki,,,,,,,,,,
22-12-04,Baraki,,,,,,,,,,
22-12-05,Baraki,,,,,,,,,,
22-12-06,Baraki,,,,,,,,,,
22-12-07,Baraki,,,,,,,,,,
22-12-08,Baraki,,,,,,,,,,
22-12-09,Baraki,,,,,,,,,,
22-12-10,Baraki,,,,,,,,,,
22-12-11,Baraki,,,,,,,,,,
22-12-12,Baraki,,,,,,,,,,
22-12-13,Baraki,,,,,,,,,,
22-12-14,Baraki,,,,,,,,,,
22-12-15,Baraki,0.06516399652904985,0.11130805705517138,0.07390168425707823,0.03774410884637144,0.13523435709506973,0.05941876693976736,0.3330649848330078,0.04948797227692378,0.03689005967676937,4.742219147314799
22-12-16,Baraki,,,,,,,,,,
22-12-17,Baraki,,,,,,,,,,
22-12-18,Baraki,0.0777611946381403,0.17294200670071608,0.07580467391574584,0.039700203700980784,0.10313110926185606,0.09729588045597498,0.20747705548112222,0.07213089164589945,0.03935703636245508,3.792781393106772
22-12-19,Baraki,,,,,,,,,,
22-12-20,Baraki,0.060520817354228776,0.1095899871977835,0.07003107758290564,0.03670348784308171,0.15098266217554876,0.058666226923429036,0.33114868683599546,0.04855674674134827,0.035898932871139565,4.760955384797746
22-12-21,Baraki,,,,,,,,,,
22-12-22,Baraki,,,,,,,,,,
22-12-23,Baraki,,,,,,,,,,
22-12-24,Baraki,,,,,,,,,,
22-12-25,Baraki,0.060398655876048875,0.11127223409535589,0.0643542337850623,0.03649918875210294,0.15593266840456851,0.05740479010669006,0.33131649341542235,0.048562717193865894,0.035732399748594906,4.734682045176951
22-12-26,Baraki,,,,,,,,,,
22-12-27,Baraki,,,,,,,,,,
22-12-28,Baraki,0.0693963351001825,0.18201663628965975,0.06339147585076714,0.037555637397413195,0.11617433877394702,0.0853843901782123,0.22953629722201635,0.06318239492713154,0.03730443118485527,4.131978091426162
22-12-29,Baraki,,,,,,,,,,
22-12-30,Baraki,0.060121828737427434,0.10094316140304534,0.06335584572723155,0.0364321987953521,0.16106099972734203,0.05878122960378374,0.33882546509127875,0.05176243637513293,0.03574012058979702,4.827401474976423
22-12-31,Baraki,,,,,,,,,,
23-01-01,Baraki,,,,,,,,,,
23-01-02,Baraki,,,,,,,,,,
23-01-03,Baraki,,,,,,,,,,
23-01-04,Baraki,,,,,,,,,,
23-01-05,Baraki,,,,,,,,,,
23-01-06,Baraki,,,,,,,,,,
23-01-07,Baraki,0.06659945617671764,0.16888610360904727,0.06384370351969691,0.03762830583395799,0.12236495139563074,0.08929446712120404,0.2325927789491682,0.06621707714363417,0.03760696801201075,4.152290426697459
23-01-08,Baraki,,,,,,,,,,
23-01-09,Baraki,,,,,,,,,,
23-01-10,Baraki,,,,,,,,,,
23-01-11,Baraki,,,,,,,,,,
23-01-12,Baraki,0.07870988607886968,0.13849910572536478,0.05822862940116013,0.0401865461688998,0.16169892655690438,0.07587605751548891,0.20315207638120722,0.07644121105834516,0.053450379171510735,3.885188431200701
23-01-13,Baraki,,,,,,,,,,
23-01-14,Baraki,0.06077245516740718,0.09162745403393942,0.058615220846822955,0.03636157761889149,0.19135025897496444,0.0558965962296957,0.321627232980672,0.05370333617331462,0.036542715531196666,4.74483429769835
23-01-15,Baraki,,,,,,,,,,
23-01-16,Baraki,,,,,,,,,,
23-01-17,Baraki,0.08375998071870001,0.13031237509270885,0.05589581761844242,0.037292973782510015,0.11261096363716108,0.10281338773815561,0.22081563932894194,0.09138186027582966,0.0504541366085337,4.320467422096317
23-01-18,Baraki,,,,,,,,,,
23-01-19,Baraki,0.06218503317052313,0.09821330899561151,0.07728403536666896,0.03947140941487704,0.18115419515012707,0.05579952643342863,0.31412512952790456,0.046341471459746174,0.03591774386166741,4.658527389381668
23-01-20,Baraki,,,,,,,,,,
23-01-21,Baraki,,,,,,,,,,
23-01-22,Baraki,,,,,,,,,,
23-01-23,Baraki,,,,,,,,,,
23-01-24,Baraki,,,,,,,,,,
23-01-25,Baraki,,,,,,,,,,
23-01-26,Baraki,,,,,,,,,,
23-01-27,Baraki,,,,,,,,,,
23-01-28,Baraki,,,,,,,,,,
23-01-29,Baraki,,,,,,,,,,
23-01-30,Baraki,,,,,,,,,,
23-01-31,Baraki,,,,,,,,,,
23-02-01,Baraki,0.06608517309440988,0.1974462094655588,0.07123723213822011,0.0407597477014118,0.11377415935233215,0.09211279179255906,0.20205589374099642,0.06492344657571979,0.03803259337177073,3.5203370680726866
23-02-02,Baraki,,,,,,,,,,
23-02-03,Baraki,,,,,,,,,,
23-02-04,Baraki,,,,,,,,,,
23-02-05,Baraki,,,,,,,,,,
23-02-06,Baraki,,,,,,,,,,
23-02-07,Baraki,,,,,,,,,,
23-02-08,Baraki,,,,,,,,,,
23-02-09,Baraki,,,,,,,,,,
23-02-10,Baraki,,,,,,,,,,
23-02-11,Baraki,,,,,,,,,,
23-02-12,Baraki,,,,,,,,,,
