id_reg_nat,time,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,wind_direction_10m_dominant,et0_fao_evapotranspiration,id_area
271,2021-08-16,26.9,1.4,14.0,317,4.74,1
272,2021-08-17,25.7,28.0,12.5,316,3.03,1
273,2021-08-18,25.1,28.2,13.8,291,1.66,1
274,2021-08-19,24.3,45.0,15.9,288,1.67,1
275,2021-08-20,24.3,37.6,19.6,296,1.59,1
276,2021-08-21,24.1,53.7,9.7,238,1.5,1
277,2021-08-22,25.7,2.6,13.5,241,3.74,1
278,2021-08-23,25.8,1.3,15.3,251,3.98,1
279,2021-08-24,26.0,0.5,17.0,263,3.87,1
280,2021-08-25,25.6,0.7,20.9,262,3.77,1
281,2021-08-26,24.9,1.2,19.5,254,3.75,1
282,2021-08-27,25.3,0.2,13.7,266,3.74,1
283,2021-08-28,26.2,1.2,11.3,300,4.14,1
284,2021-08-29,25.8,22.5,13.1,342,3.49,1
285,2021-08-30,25.5,10.9,17.5,35,3.04,1
286,2021-08-31,25.3,9.1,14.5,95,2.75,1
287,2021-09-01,25.2,6.4,16.9,150,3.52,1
288,2021-09-02,25.2,19.1,15.3,204,2.99,1
289,2021-09-03,25.6,28.6,7.2,233,2.86,1
290,2021-09-04,25.1,8.1,11.2,265,2.37,1
291,2021-09-05,25.2,10.0,9.8,294,3.0,1
292,2021-09-06,26.1,6.1,13.2,13,3.13,1
293,2021-09-07,26.3,11.6,20.9,50,3.63,1
294,2021-09-08,24.8,19.9,16.3,136,2.5,1
295,2021-09-09,23.8,78.3,21.1,229,0.83,1
296,2021-09-10,23.9,7.9,22.1,234,1.56,1
297,2021-09-11,24.9,5.1,12.1,199,3.09,1
298,2021-09-12,25.3,3.5,11.5,206,3.28,1
299,2021-09-13,25.5,5.5,10.2,105,2.59,1
300,2021-09-14,25.4,16.9,13.2,17,2.66,1
301,2021-09-15,24.8,17.6,14.5,309,2.51,1
302,2021-09-16,24.3,14.2,22.7,270,2.13,1
303,2021-09-17,24.6,16.8,25.3,263,2.99,1
304,2021-09-18,23.9,6.6,26.7,228,2.0,1
305,2021-09-19,24.9,1.2,16.0,233,2.97,1
306,2021-09-20,24.5,16.8,10.2,236,2.28,1
307,2021-09-21,24.9,8.4,11.9,239,2.88,1
308,2021-09-22,25.6,3.0,9.4,176,3.66,1
309,2021-09-23,25.7,4.2,8.7,324,3.65,1
310,2021-09-24,25.8,3.9,10.1,300,3.02,1
311,2021-09-25,25.2,9.9,9.7,290,2.74,1
312,2021-09-26,25.1,1.2,10.5,10,2.74,1
313,2021-09-27,26.1,3.4,16.0,50,3.29,1
314,2021-09-28,26.1,1.7,22.3,93,4.2,1
315,2021-09-29,25.2,1.2,20.9,148,3.18,1
316,2021-09-30,25.9,2.2,8.9,80,3.79,1
317,2021-10-01,26.1,4.3,8.3,2,3.33,1
318,2021-10-02,26.0,5.4,10.6,283,3.61,1
319,2021-10-03,25.7,6.4,12.1,255,3.4,1
320,2021-10-04,26.5,0.7,7.9,287,3.79,1
321,2021-10-05,26.6,0.6,10.2,27,3.41,1
322,2021-10-06,26.6,1.1,9.7,26,3.44,1
323,2021-10-07,27.3,0.3,6.6,23,3.89,1
324,2021-10-08,26.9,0.2,8.6,290,3.96,1
325,2021-10-09,26.3,0.0,9.2,323,4.44,1
326,2021-10-10,26.5,0.0,10.5,315,4.42,1
327,2021-10-11,26.4,0.0,9.7,315,4.24,1
328,2021-10-12,26.5,0.0,9.7,303,4.57,1
329,2021-10-13,26.0,0.0,14.5,17,5.11,1
330,2021-10-14,25.1,0.0,13.0,9,5.25,1
331,2021-10-15,24.3,0.0,10.8,6,4.88,1
332,2021-10-16,26.2,0.7,11.8,45,4.12,1
333,2021-10-17,25.0,50.0,14.2,57,3.48,1
334,2021-10-18,23.9,6.4,15.5,293,2.29,1
335,2021-10-19,23.8,0.0,16.5,305,3.71,1
336,2021-10-20,23.1,0.0,11.0,298,4.26,1
337,2021-10-21,22.8,0.0,15.8,291,4.55,1
338,2021-10-22,23.0,0.0,10.8,260,4.42,1
339,2021-10-23,22.4,0.0,12.2,207,4.33,1
340,2021-10-24,22.6,0.0,9.2,242,3.99,1
341,2021-10-25,22.5,0.0,9.1,1,3.75,1
342,2021-10-26,22.2,0.1,9.0,46,3.48,1
343,2021-10-27,21.8,0.2,13.6,44,3.75,1
344,2021-10-28,20.9,0.0,12.2,42,4.19,1
345,2021-10-29,20.6,0.0,12.7,39,4.2,1
346,2021-10-30,20.3,0.0,10.1,8,3.91,1
347,2021-10-31,20.7,0.0,12.5,68,4.29,1
348,2021-11-01,21.7,0.0,10.5,99,4.31,1
349,2021-11-02,21.4,0.0,13.2,75,4.35,1
350,2021-11-03,21.1,0.0,11.4,52,4.3,1
351,2021-11-04,21.2,0.0,10.2,57,4.16,1
352,2021-11-05,21.3,0.0,11.0,50,4.12,1
353,2021-11-06,20.6,0.0,10.6,38,3.93,1
354,2021-11-07,20.4,0.0,11.7,58,3.56,1
355,2021-11-08,21.1,0.0,13.5,48,4.33,1
356,2021-11-09,21.1,0.0,11.6,43,4.29,1
357,2021-11-10,20.9,0.0,13.8,45,4.32,1
358,2021-11-11,20.6,0.0,15.5,41,4.57,1
359,2021-11-12,20.5,0.0,16.3,40,4.19,1
360,2021-11-13,20.9,0.0,15.3,40,4.14,1
361,2021-11-14,20.7,0.0,13.7,48,3.68,1
362,2021-11-15,20.3,0.0,12.0,46,3.97,1
363,2021-11-16,20.0,0.0,14.8,49,4.14,1
364,2021-11-17,21.7,0.0,14.3,62,3.93,1
365,2021-11-18,23.1,0.0,16.8,67,4.0,1
366,2021-11-19,22.7,0.0,14.2,71,3.51,1
367,2021-11-20,22.7,0.0,15.9,60,3.72,1
368,2021-11-21,23.9,0.0,13.6,60,3.68,1
369,2021-11-22,23.7,0.0,9.8,41,3.37,1
370,2021-11-23,23.3,0.0,9.4,29,3.56,1
371,2021-11-24,23.2,0.0,9.8,106,3.47,1
372,2021-11-25,22.7,0.0,8.9,7,3.63,1
373,2021-11-26,21.5,0.0,10.1,76,3.79,1
374,2021-11-27,21.6,0.0,10.7,103,4.11,1
